text,category
The prime minister addressed the nation regarding new tax reforms.,Politics
India won the cricket world cup after a thrilling final match.,Sports
Researchers unveiled a new AI model that mimics human reasoning.,Science
Parliament passes a historic environmental protection act.,Politics
Tesla unveils its latest electric vehicle model with advanced AI features.,Technology
Climate change report warns of rising sea levels and extreme weather.,Science
The Lakers defeated the Celtics in a high-intensity NBA game.,Sports
Scientists successfully test a fusion reactor prototype.,Science
The opposition leader criticized the latest government budget proposal.,Politics
Google announces a new Android update with better privacy features.,Technology
Bitcoin hits a new high as investors embrace crypto.,Finance
The latest Marvel movie breaks box office records.,Entertainment
A new startup is disrupting the insurance industry.,Business
Police investigate major cyber attack on government websites.,Cybersecurity
Local team wins regional robotics competition.,Education
